element,id,name,amenity,dispensing,healthcare,opening_hours,phone,website,addr:street,addr:housenumber,addr:city,original_geometry_type,pharmacy_id,longitude,latitude
node,481917750,Vikamed - Apteka,pharmacy,yes,pharmacy,Mo-Fr 08:00-20:00; Sa 09:00-14:00,+48 81 469 15 26,,,,,Point,1,22.5866019,51.2084693
node,774626973,Apteka Vital Centrum,pharmacy,yes,pharmacy,,,,,,,Point,2,22.5317117,51.2279466
node,952466335,Apteka Dr Max,pharmacy,yes,pharmacy,Mo-Fr 07:00-20:00; Sa 07:00-18:00,,,,,,Point,3,22.5702659,51.2518214
node,961692406,Apteka Hipoteczna,pharmacy,yes,pharmacy,,,,,,,Point,4,22.6042148,51.2359646
node,1198707654,Gemini,pharmacy,yes,pharmacy,Mo-Fr 07:00-20:00; Sa 08:00-16:00,,,,,,Point,5,22.5695576,51.2512992
node,1337897967,Apteka,pharmacy,yes,,,,,,,,Point,6,22.629392,51.2204285
node,1468368932,Apteka Poręba,pharmacy,yes,pharmacy,,,,,,,Point,7,22.5049999,51.2245512
node,1572662906,Dbam o Zdrowie,pharmacy,yes,pharmacy,Mo-Fr 08:00-20:00; Sa 08:00-15:00,,,Lubartowska,25,Lublin,Point,8,22.567035,51.2498813
node,1633854691,Apteka Pod Słońcem,pharmacy,yes,pharmacy,,,,,,,Point,9,22.5435543,51.20055
node,1820455539,Dbam o Zdrowie,pharmacy,yes,pharmacy,,,,,,,Point,10,22.5960017,51.2478516
node,1838212532,Dbam o Zdrowie,pharmacy,yes,pharmacy,Mo-Sa 08:00-20:00,+48 815261754,https://www.doz.pl,Jutrzenki,4,Lublin,Point,11,22.5233,51.228982
node,1843648307,Unknown pharmacy,pharmacy,yes,pharmacy,Mo-Fr 07:00-21:00; Sa 08:00-15:00; Su off,+48 81 584 76 29,,,,,Point,12,22.5486948,51.2373706
node,2265887046,Zdrowit,pharmacy,yes,pharmacy,,,,,,,Point,13,22.5454792,51.2634156
node,2394862504,Apteka Eskulap,pharmacy,yes,pharmacy,24/7,+48817473622,,,,,Point,14,22.5698762,51.2590299
node,2399236763,Dbam o Zdrowie,pharmacy,yes,pharmacy,Mo-Fr 08:00-20:00; Sa 08:00-15:00; Su off,,,,,,Point,15,22.5311448,51.250872
node,2399236764,Vital Centrum,pharmacy,yes,pharmacy,Mo-Fr 08:00-20:00; Sa 08:00-14:00; Su off,,,Spadochroniarzy,7,Lublin,Point,16,22.5306218,51.2488291
node,2430256215,Apteka Izabela Serwan,pharmacy,yes,pharmacy,Mo-Fr 07:00-20:00; Sa 07:00-15:00,,,,,,Point,17,22.5526343,51.2396702
node,2450604508,Unknown pharmacy,pharmacy,yes,pharmacy,Mo-Fr 08:00-20:00; Sa 08:00-15:00,,,Wacława i Zofii Nałkowskich,108,Lublin,Point,18,22.5443743,51.210455
node,2463401601,Apteka Świt,pharmacy,yes,,,,,,,,Point,19,22.4919054,51.2306491
node,2664006608,Apteka,pharmacy,yes,,Mo-Fr 08:00-19:00; Sa 08:00-14:00,,,,,,Point,20,22.5267855,51.243513
node,2664044981,Apteka Centrum,pharmacy,yes,pharmacy,Mo-Fr 07:00-20:00; Sa 08:00-16:00,,,,,,Point,21,22.5578865,51.2495807
node,2839593687,Apteka Rodzinna,pharmacy,yes,pharmacy,,,,Sasankowa,8,,Point,22,22.5196129,51.2304195
node,2839604548,SALIX,pharmacy,yes,pharmacy,Mo-Fr 08:00-21:00; Sa 08:00-16:00; Su 09:00-15:00,+48 81 442 62 22,,,,,Point,23,22.5206506,51.229409
node,2866498818,Apteka Na Błoniach,pharmacy,yes,,Mo-Fr 08:00-20:00; Sa 09:00-15:00; Su 9:00-14:00,,,Kawaleryjska,20A,Lublin,Point,24,22.5103482,51.2347951
node,2874091806,Mediki,pharmacy,yes,pharmacy,,,,,,,Point,25,22.5050113,51.2701463
node,2909992098,Unknown pharmacy,pharmacy,yes,pharmacy,,,,Marii Koryznowej,2g,Lublin,Point,26,22.5848664,51.2592014
node,3056471724,Unknown pharmacy,pharmacy,,pharmacy,,,,,,,Point,27,22.565941,51.2606464
node,3056471731,Dbam o Zdrowie,pharmacy,yes,pharmacy,24/7,,,,,,Point,28,22.565576,51.2608501
node,3170793172,Super-Pharm,pharmacy,yes,pharmacy,Mo-Sa 09:00-21:00; Su 09:00-20:00,,https://www.superpharm.pl/,,,,Point,29,22.612652,51.2319891
node,3276481254,Apteka Lubelska,pharmacy,yes,pharmacy,,,,,,,Point,30,22.5372064,51.2321086
node,3292795907,Apteka Prima,pharmacy,yes,pharmacy,Mo-Fr 08:00-21:00; Sa 08:00-19:00; Su 10:00-17:00,,,,,,Point,31,22.5411226,51.2680273
node,3401464836,Sulap,pharmacy,yes,,Mo-Fr 08:00-20:00;Sa 08:00-15:00,,,,,,Point,32,22.5903647,51.2322557
node,3538912198,Apteka Nova,pharmacy,yes,pharmacy,Mo-Fr 08:00-20:30; Sa 08:00-19:00; Su 09:00-17:00,,,,,,Point,33,22.5842307,51.1947414
node,3627100981,Apteka Natura,pharmacy,yes,,Mo-Fr 08:00-20:00; Sa 08:00-15:00,,,,,,Point,34,22.5073848,51.2312549
