district_id,district_name,area_km2,pharmacies_count,pharmacies_per_km2,rank_by_count,rank_by_density
21,Abramowice,13.42,1,0.07,24,24
5,Bronowice,2.5,5,2.0,11,9
8,Czechów Pd.,3.33,7,2.1,7,7
22,Czechów Płn.,5.92,8,1.35,5,12
7,Czuby Pd.,1.95,4,2.05,15,8
26,Czuby Płn.,2.38,11,4.62,3,2
9,Dziesiąta,5.64,5,0.89,10,16
13,Felin,6.97,3,0.43,19,19
11,Głusk,5.7,1,0.18,23,22
18,Hajdów - Zadębie,9.08,0,0.0,25,25
3,Kalinowszczyzna,2.76,7,2.54,6,6
12,Konstantynów,1.94,2,1.03,20,14
17,Kośminek,6.44,4,0.62,14,18
25,Ponikwoda,11.54,4,0.35,13,21
16,Rury,3.59,15,4.18,2,3
6,Stare Miasto,0.94,3,3.18,17,5
24,Szerokie,3.49,0,0.0,27,27
23,Sławin,8.32,3,0.36,16,20
2,Sławinek,1.66,3,1.81,18,10
15,Tatary,2.99,5,1.67,12,11
1,Wieniawa,2.19,9,4.11,4,4
10,Wrotków,5.43,5,0.92,9,15
4,Węglin Pd.,5.05,6,1.19,8,13
20,Węglin Płn.,2.4,0,0.0,26,26
19,Za Cukrownią,2.42,2,0.83,22,17
27,Zemborzyce,25.65,2,0.08,21,23
14,Śródmieście,3.8,21,5.53,1,1
